"move_label","recommended","allocation_count","estimate","uncertainty_sd","prob_best","exp_regret"
"24->23, 13->7",TRUE,49,0.61764705882353,0.0673908190434682,0.361328125,0.0515071652679712
"24->23, 8->2",FALSE,98,0.6,0.0487466678221432,0.189453125,0.0688912664113491
"8->7, 8->2",FALSE,39,0.573170731707317,0.0763210705508886,0.1484375,0.100611602562876
"24->23, 24->18",FALSE,23,0.52,0.0979795897113271,0.095703125,0.147495507007978
"13->7, 7->6",FALSE,37,0.512820512820513,0.0790309487560125,0.041015625,0.147304097388929
"8->7, 13->7",FALSE,19,0.476190476190476,0.10647942749999,0.06640625,0.182200395634009
"8->7, 24->18",FALSE,19,0.452380952380952,0.106115808586626,0.03125,0.214237157579437
"6->5, 24->18",FALSE,18,0.45,0.108562029668362,0.044921875,0.216840896774923
