"total_budget","chosen_move_label","truth_best_move_label","correct_selection","simple_regret","mse","runtime_seconds"
96,"13->7, 7->6","24->23, 8->2",FALSE,0.0321782178217821,0.0137000587285781,0.0669999999999993
192,"8->7, 8->2","24->23, 8->2",FALSE,0.0693069306930693,0.0116866906310579,0.124
384,"8->7, 13->7","24->23, 8->2",FALSE,0.0519801980198019,0.012155289559156,0.233
